Mode of Transport,Total Persons Died,Year
Truck/Lorry ,25108,2017
Bus ,10699,2017
SUV/Station Wagon/etc. ,5671,2017
Car ,20937,2017
Jeep ,5374,2017
Tractor,5073,2017
Three Wheeler/Auto Rickshaw ,7107,2017
Two Wheeler,52359,2017
Other Motor Vehicles,4708,2017
Bicycle,1785,2017
Hand Drawn Vehicle/Cycle Rickshaw,274,2017
Animal Drawn Vehicle,242,2017
Pedestrian,8659,2017
Others,2097,2017
