Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
56,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,51,2,0,53,9,1,0,10,0,0,0,0,11,0,0,11,0,0,0,0,77,5,0,82,167,8,0,175,167,8,0,175
57,City,Jaipur,2,1,0,3,56,9,0,65,4,2,0,6,0,0,0,0,35,6,0,41,121,22,0,143,218,40,0,258,20,4,0,24,81,20,0,101,11,5,0,16,29,5,0,34,55,6,0,61,41,9,0,50,129,19,0,148,366,68,0,434,584,108,0,692
58,City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,21,11,2,0,13,9,2,0,11,12,4,0,16,11,3,0,14,3,2,0,5,2,1,0,3,65,18,0,83,65,18,0,83
59,City,Jodhpur,15,3,0,18,40,5,0,45,4,0,0,4,11,5,0,16,14,5,0,19,0,0,0,0,84,18,0,102,19,1,0,20,35,3,0,38,16,4,0,20,6,5,0,11,19,1,0,20,0,0,0,0,23,11,0,34,118,25,0,143,202,43,0,245
60,City,Kannur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,51,8,0,59,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,59,9,0,68,59,9,0,68
61,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0,37,475,52,0,527,26,5,0,31,21,0,0,21,18,6,0,24,0,0,0,0,13,0,0,13,584,69,0,653,584,69,0,653
62,City,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,21,4,0,25,9,2,0,11,5,3,0,8,4,4,0,8,4,2,0,6,65,8,0,73,115,26,0,141,115,26,0,141
63,City,Kolkata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,30,68,14,0,82,7,7,0,14,28,15,0,43,79,16,0,95,9,3,0,12,15,3,0,18,225,69,0,294,225,69,0,294
64,City,Kollam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,20,176,22,0,198,5,1,0,6,3,0,0,3,9,1,0,10,4,0,0,4,0,0,0,0,216,25,0,241,216,25,0,241
65,City,Kota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,10,3,0,13,1,0,0,1,2,0,0,2,16,3,0,19,0,0,0,0,44,5,0,49,77,12,0,89,77,12,0,89
66,City,Kozhikode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,13,93,7,0,100,3,0,0,3,0,0,0,0,2,0,0,2,7,2,0,9,19,8,0,27,132,22,0,154,132,22,0,154
67,City,Lucknow,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,127,14,0,141,129,14,0,143,29,1,0,30,53,12,0,65,0,0,0,0,12,0,0,12,13,1,0,14,3,1,0,4,168,16,0,184,278,31,0,309,407,45,0,452
68,City,Ludhiana,1,1,0,2,40,8,0,48,2,0,0,2,1,0,0,1,18,2,0,20,72,10,0,82,134,21,0,155,10,1,0,11,50,12,0,62,3,2,0,5,7,2,0,9,9,0,0,9,19,4,0,23,44,10,0,54,142,31,0,173,276,52,0,328
69,City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,12,0,49,22,7,0,29,1,0,0,1,38,6,0,44,0,0,0,0,0,0,0,0,25,5,0,30,123,30,0,153,123,30,0,153
70,City,Malappuram,8,0,0,8,35,3,0,38,5,2,0,7,2,0,0,2,0,0,0,0,0,0,0,0,50,5,0,55,1,0,0,1,30,9,0,39,4,4,0,8,2,0,0,2,4,0,0,4,8,0,0,8,5,0,0,5,54,13,0,67,104,18,0,122
71,City,Meerut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,6,0,83,47,4,0,51,31,3,0,34,27,2,0,29,26,0,0,26,0,0,0,0,0,0,0,0,208,15,0,223,208,15,0,223
72,City,Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,13,0,55,239,34,0,273,25,10,0,35,45,17,0,62,32,2,0,34,28,6,0,34,44,9,0,53,455,91,0,546,455,91,0,546
73,City,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,215,36,0,251,1,2,0,3,6,1,0,7,7,2,0,9,2,3,0,5,0,0,0,0,240,44,0,284,240,44,0,284
74,City,Nasik,0,0,0,0,21,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,23,13,6,0,19,178,29,0,207,2,2,0,4,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,196,40,0,236,217,42,0,259
75,City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,168,13,0,181,12,2,0,14,179,7,0,186,9,6,0,15,0,0,0,0,0,0,0,0,378,28,0,406,378,28,0,406
76,City,Pune,9,0,0,9,24,6,0,30,5,3,0,8,0,0,0,0,0,0,0,0,1,0,0,1,39,9,0,48,16,2,0,18,93,14,0,107,6,4,0,10,9,0,0,9,2,1,0,3,0,0,0,0,72,19,0,91,198,40,0,238,237,49,0,286
77,City,Raipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,41,3,0,44,10,1,0,11,6,0,0,6,8,1,0,9,8,0,0,8,48,6,0,54,128,12,0,140,128,12,0,140
78,City,Rajkot,9,1,0,10,5,2,0,7,3,1,0,4,0,0,0,0,29,3,0,32,62,1,0,63,108,8,0,116,11,1,0,12,9,4,0,13,5,1,0,6,2,1,0,3,13,1,0,14,18,2,0,20,17,1,0,18,75,11,0,86,183,19,0,202
79,City,Ranchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,21,57,3,0,60,61,2,0,63,53,1,0,54,8,1,0,9,9,1,0,10,12,1,0,13,218,12,0,230,218,12,0,230
80,City,Srinagar,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,18,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,24,40,4,0,44,42,4,0,46
81,City,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,18,151,26,0,177,18,0,0,18,21,2,0,23,71,6,0,77,5,0,0,5,0,0,0,0,282,36,0,318,282,36,0,318
82,City,Thiruvananthapuram,4,1,0,5,17,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,25,8,1,0,9,104,19,0,123,2,1,0,3,2,1,0,3,0,0,0,0,18,6,0,24,12,3,0,15,146,31,0,177,167,35,0,202
83,City,Thrissur,9,2,0,11,61,9,0,70,18,3,0,21,20,1,0,21,2,1,0,3,0,0,0,0,110,16,0,126,22,4,0,26,36,6,0,42,12,2,0,14,6,1,0,7,2,0,0,2,1,0,0,1,0,0,0,0,79,13,0,92,189,29,0,218
84,City,Tiruchirappalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,7,0,25,7,4,0,11,6,2,0,8,3,1,0,4,23,8,0,31,34,8,0,42,92,30,0,122,92,30,0,122
85,City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,20,7,0,27,7,0,0,7,2,0,0,2,8,2,0,10,1,0,0,1,108,24,0,132,149,33,0,182,149,33,0,182
86,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,5,1,0,6,4,0,0,4,5,1,0,6,0,0,0,0,0,0,0,0,65,9,0,74,86,12,0,98,86,12,0,98
87,City,Vasai Virar,3,0,0,3,9,0,0,9,5,0,0,5,0,0,0,0,0,0,0,0,54,2,0,56,71,2,0,73,3,0,0,3,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,8,0,94,92,9,0,101,163,11,0,174
88,City,Vijayawada,18,3,0,21,94,12,0,106,11,0,0,11,1,0,0,1,12,2,0,14,56,15,0,71,192,32,0,224,2,1,0,3,39,9,0,48,4,0,0,4,1,1,0,2,8,5,0,13,0,0,0,0,53,10,0,63,107,26,0,133,299,58,0,357
89,City,Vishakhapatnam,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,16,0,0,16,31,6,0,37,186,29,0,215,0,0,0,0,25,3,0,28,20,4,0,24,19,4,0,23,0,0,0,0,281,46,0,327,297,46,0,343
City,City,Total (Cities),85,14,0,99,545,63,0,608,67,13,0,80,36,6,0,42,132,22,0,154,621,75,0,696,1486,193,0,1679,801,184,0,985,4226,680,0,4906,571,129,0,700,889,146,0,1035,1045,156,0,1201,846,205,0,1051,3208,500,0,3708,11586,2000,0,13586,13072,2193,0,15265
