Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
State,Madhya Pradesh,294,63,0,357,2347,388,0,2735,253,48,0,301,175,30,0,205,265,39,0,304,3348,490,0,3838,6682,1058,0,7740,405,70,0,475,1221,224,0,1445,206,37,0,243,140,30,0,170,234,34,0,268,57,16,0,73,1242,200,0,1442,3505,611,0,4116,10187,1669,0,11856
State,Maharashtra,284,44,0,328,2521,536,0,3057,288,56,0,344,216,39,0,255,343,47,0,390,4957,736,0,5693,8609,1458,0,10067,252,77,0,329,1767,437,1,2205,115,17,0,132,173,16,0,189,219,27,0,246,129,39,0,168,1042,230,0,1272,3697,843,1,4541,12306,2301,1,14608
State,Manipur,9,2,0,11,60,10,0,70,4,1,0,5,9,1,0,10,8,0,0,8,13,0,0,13,103,14,0,117,4,2,0,6,14,7,0,21,2,1,0,3,1,0,0,1,2,0,0,2,3,0,0,3,1,2,0,3,27,12,0,39,130,26,0,156
State,Meghalaya,7,2,0,9,79,11,0,90,11,4,0,15,0,0,0,0,14,3,0,17,8,0,0,8,119,20,0,139,7,0,0,7,23,3,0,26,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,34,3,0,37,153,23,0,176
State,Mizoram,2,0,0,2,22,6,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,0,30,1,0,0,1,30,1,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,33,56,7,0,63
State,Nagaland,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,9,3,0,12,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,3,9,1,0,10,18,4,0,22
State,Odisha,52,12,0,64,301,28,0,329,31,5,0,36,61,9,0,70,39,8,0,47,2399,257,0,2656,2883,319,0,3202,421,71,0,492,72,16,0,88,18,6,0,24,29,5,0,34,44,4,0,48,16,3,0,19,1346,80,0,1426,1946,185,0,2131,4829,504,0,5333
State,Punjab,213,29,0,242,925,133,0,1058,148,19,0,167,142,6,0,148,268,34,0,302,854,66,0,920,2550,287,0,2837,225,38,0,263,537,92,0,629,158,10,0,168,106,11,0,117,176,17,0,193,52,13,0,65,299,42,0,341,1553,223,0,1776,4103,510,0,4613
State,Rajasthan,157,32,0,189,1159,198,0,1357,59,18,0,77,20,1,0,21,218,49,0,267,5280,634,0,5914,6893,932,0,7825,151,28,0,179,529,108,0,637,77,18,0,95,41,5,0,46,295,69,0,364,77,24,0,101,1117,199,0,1316,2287,451,0,2738,9180,1383,0,10563
State,Sikkim,1,1,0,2,18,7,0,25,1,0,0,1,0,0,0,0,2,0,0,2,28,2,0,30,50,10,0,60,0,0,0,0,7,0,0,7,2,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,12,1,0,13,22,2,0,24,72,12,0,84
State,Tamil Nadu,498,102,0,600,1119,317,0,1436,450,120,0,570,701,131,0,832,567,109,0,676,2523,271,0,2794,5858,1050,0,6908,285,63,0,348,534,98,0,632,186,48,0,234,266,50,0,316,370,57,0,427,960,84,0,1044,480,136,0,616,3081,536,0,3617,8939,1586,0,10525
State,Telangana,148,43,0,191,558,111,0,669,120,32,0,152,289,40,0,329,165,48,0,213,2228,273,0,2501,3508,547,0,4055,267,87,0,354,363,143,0,506,291,68,0,359,346,93,0,439,284,70,0,354,200,58,0,258,559,80,0,639,2310,599,0,2909,5818,1146,0,6964
State,Tripura,10,2,0,12,78,10,0,88,5,1,0,6,4,1,0,5,4,0,0,4,41,3,0,44,142,17,0,159,5,1,0,6,32,6,0,38,8,0,0,8,0,0,0,0,6,0,0,6,0,0,0,0,19,3,0,22,70,10,0,80,212,27,0,239
State,Uttar Pradesh,1607,373,0,1980,4055,736,0,4791,649,138,0,787,374,91,0,465,465,100,0,565,4270,771,0,5041,11420,2209,0,13629,1337,274,0,1611,2943,441,0,3384,875,141,0,1016,429,69,0,498,536,86,0,622,159,64,0,223,1876,426,0,2302,8155,1501,0,9656,19575,3710,0,23285
State,Uttarakhand,55,2,0,57,234,35,0,269,45,7,0,52,36,7,0,43,35,13,0,48,16,1,0,17,421,65,0,486,32,4,0,36,185,25,0,210,21,2,0,23,40,6,0,46,43,4,0,47,1,0,0,1,17,1,0,18,339,42,0,381,760,107,0,867
