Mode of Transport,Total Persons Died,Year
Truck/Lorry ,22637,2019
Bus ,9192,2019
SUV/Station Wagon/etc. ,6188,2019
Car ,21196,2019
Jeep ,3874,2019
Tractor,4451,2019
Three Wheeler/Auto Rickshaw ,7282,2019
Two Wheeler,58747,2019
Other Motor Vehicles,4098,2019
Bicycle,2000,2019
Hand Drawn Vehicle/Cycle Rickshaw,212,2019
Animal Drawn Vehicle,194,2019
Pedestrian,11961,2019
Others,2700,2019
