Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
74,City,Nasik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,112,19,0,131,0,0,0,0,1,0,0,1,23,13,0,36,0,0,0,0,0,0,0,0,140,32,0,172,140,32,0,172
75,City,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,192,4,0,196,1,2,0,3,38,1,0,39,65,0,0,65,13,0,0,13,0,0,0,0,310,10,0,320,310,10,0,320
76,City,Pune,0,0,0,0,34,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,44,69,19,0,88,14,1,0,15,85,20,0,105,10,5,0,15,11,2,0,13,18,7,0,25,0,0,0,0,79,11,0,90,217,46,0,263,286,65,0,351
77,City,Raipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,25,3,0,28,10,1,0,11,6,0,0,6,8,1,0,9,0,0,0,0,75,13,0,88,131,19,0,150,131,19,0,150
78,City,Rajkot,7,1,0,8,3,2,0,5,1,2,0,3,0,0,0,0,19,4,0,23,49,2,0,51,79,11,0,90,9,1,0,10,5,4,0,9,3,2,0,5,2,1,0,3,9,3,0,12,16,5,0,21,9,2,0,11,53,18,0,71,132,29,0,161
79,City,Ranchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,21,57,3,0,60,61,2,0,63,53,1,0,54,8,1,0,9,9,1,0,10,12,1,0,13,218,12,0,230,218,12,0,230
80,City,Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,0,56,50,10,0,60,50,10,0,60
81,City,Surat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,108,23,0,131,10,2,0,12,14,0,0,14,30,3,0,33,0,0,0,0,40,5,0,45,207,33,0,240,207,33,0,240
82,City,Thiruvananthapuram,0,0,0,0,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,12,5,0,17,66,15,0,81,15,4,0,19,11,1,0,12,8,0,0,8,22,8,0,30,0,0,0,0,134,33,0,167,138,34,0,172
83,City,Thrissur,2,1,0,3,10,2,0,12,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,15,3,0,18,9,2,0,11,45,4,0,49,6,1,0,7,12,2,0,14,5,1,0,6,3,0,0,3,0,0,0,0,80,10,0,90,95,13,0,108
84,City,Tiruchirappalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,24,0,0,0,0,0,0,0,0,8,0,0,8,10,6,0,16,75,11,0,86,111,23,0,134,111,23,0,134
85,City,Vadodara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,31,11,0,42,4,1,0,5,3,0,0,3,5,2,0,7,12,1,0,13,94,15,0,109,155,31,0,186,155,31,0,186
86,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,9,2,0,11,6,1,0,7,0,0,0,0,8,0,0,8,0,0,0,0,60,19,0,79,90,23,0,113,90,23,0,113
87,City,Vasai Virar,3,1,0,4,12,0,0,12,5,0,0,5,0,0,0,0,0,0,0,0,60,2,0,62,80,3,0,83,0,0,0,0,17,2,0,19,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,81,10,0,91,101,12,0,113,181,15,0,196
88,City,Vijayawada,22,6,0,28,85,13,0,98,12,0,0,12,2,0,0,2,13,5,0,18,51,15,0,66,185,39,0,224,3,2,0,5,41,12,0,53,2,1,0,3,2,1,0,3,6,1,0,7,0,0,0,0,42,12,0,54,96,29,0,125,281,68,0,349
89,City,Vishakhapatnam,1,0,0,1,4,1,0,5,0,0,0,0,0,0,0,0,5,0,0,5,13,0,0,13,23,1,0,24,11,4,0,15,77,12,0,89,3,1,0,4,0,0,0,0,21,6,0,27,10,4,0,14,101,22,0,123,223,49,0,272,246,50,0,296
City,City,Total (Cities),105,22,0,127,401,65,0,466,41,5,0,46,22,0,0,22,110,16,0,126,680,96,0,776,1359,204,0,1563,955,185,0,1140,4339,701,0,5040,621,127,0,748,680,99,0,779,941,157,0,1098,523,151,0,674,3572,633,0,4205,11631,2053,0,13684,12990,2257,0,15247
